datetime_baru,Sentences,score,isEdited,title,Preprocess_Sentences,prob_keyakinan,sentiment,sentences_wordCloud,Topic,,,,
11/23/2019 2:38,"Ditambahin dong fiturnya seperti bisa lebih mudah untuk melakukan pembayaran online seperti aplikasi kereta api, shopee, link aja dll nya. Biar transaksi online bisa lebih mudah",4,FALSE,Penambahan fitur,ditambahin fiturnya bisa mudah pembayaran online aplikasi kereta api shopee link nya biar transaksi online bisa mudah,0.99997276,positive,ditambahin fiturnya mudah pembayaran online kereta api shopee link nya biar transaksi online mudah,Transaksi Nasabah pada BSI Mobile,,,,
11/5/2020 7:23,Jika anda sedang bertugas ke luar kota sekarang anda tidak akan bingung lagi kemana arah kiblatnya. Karena anda bisa membukanya melalui ponsel Mandiri Syariah,5,FALSE,Tidak bingung lagi,bertugas kota tidak bingung kemana arah kiblatnya bisa membukanya ponsel mandiri syariat,0.000589282,negative,bertugas kota bingung kemana arah kiblatnya membukanya ponsel mandiri syariat,Transaksi Nasabah pada BSI Mobile,,,,
5/28/2022 7:37,"Aplikasi ini bagus banget apalagi setelah diupdate, makin keren, penggunaannya juga mudah. Fiturnya lengkap banget jadi seneng banget deh pakai aplikasinya kalau gini. Mantab BSI semakin hari semakin keren!! Semoga selalu ditingkatkan lagi, dan lancar jaya selalu BSI👏",5,FALSE,Friendly user,aplikasi bagus banget diupdate keren penggunaannya mudah fiturnya lengkap banget senang banget deh pakai aplikasinya mantap bsi keren semoga ditingkatkan lancar jaya bsi keren,0.9999805,positive,bagus banget diupdate keren penggunaannya mudah fiturnya lengkap banget senang banget deh pakai aplikasinya mantap keren semoga ditingkatkan lancar jaya keren,Kenyamanan pada BSI Mobile,,,,
6/6/2022 13:12,"Setelah diupdate, BSI Mobile fiturnya makin lengkap. Yang paling membantu adalah fitur jadwal sholat dan petunjuk arah kiblat. BSI Mobile kereen. Terus dikembangkan lagi yaa",5,FALSE,Aplikasi yang memudahkan,diupdate bsi mobile fiturnya lengkap membantu fitur jadwal salat petunjuk arah kiblat bsi mobile keren dikembangkan ya,0.9999777,positive,diupdate fiturnya lengkap membantu fitur jadwal salat petunjuk arah kiblat keren dikembangkan ya,Kenyamanan pada BSI Mobile,,,,
6/9/2023 15:13,Gokillll makin keren aplikasinya apalagi udh update makin mantull bgt 🫶🏼,5,FALSE,Mantul,gokillll keren aplikasinya pembaruan mantull banget,0.99996734,positive,gokillll keren aplikasinya pembaruan mantull banget,Kenyamanan pada BSI Mobile,,,,
3/16/2023 8:09,"UI nya user friendly, aplikasinya gak lemot lancarr pas transaksi, nyamann banget pakek bsi👍👍👍👍",5,FALSE,Aplikasi BSI mantappp,oi nya pengguna friendly aplikasinya tidak lemot lancarr pas transaksi nyamann banget pakai bsi keren keren keren keren,0.99983525,positive,oi nya pengguna friendly aplikasinya lemot lancarr pas transaksi nyamann banget pakai keren keren keren keren,Kenyamanan pada BSI Mobile,,,,
4/10/2023 12:50,"Abis di update jadi makin keren ni aplikasinya
 Lancar jaya, mantap lah pokoknyaa 👍👍👍👍
Good job deh BSI
Kalo udah diupdate gini jadi seneng deh pakai aplikasinya
Semoga bisa selalu ditingkatkan lagi yaaa 👍👍👍",5,FALSE,Bsi mantap,habis pembaruan keren nih aplikasinya lancar jaya mantap pokoknyaa keren keren keren keren good job deh bsi kalo diupdate senang deh pakai aplikasinya semoga bisa ditingkatkan ya keren keren keren,0.99998057,positive,habis pembaruan keren nih aplikasinya lancar jaya mantap pokoknyaa keren keren keren keren good job deh kalo diupdate senang deh pakai aplikasinya semoga ditingkatkan ya keren keren keren,BSI Mobile Keren dan Lancar Digunakan,,,,
4/4/2023 5:23,"Aplikasi ini berguna banget untuk melakukan transaksi secara online, terutama untuk pembayaran jarak jauh. GREAT JOB BSI!! makin lancar jaya dan sukses teruus kedepannyaa!",5,FALSE,sangaat memuaskann🤩,aplikasi berguna banget transaksi online pembayaran jarak great job bsi lancar jaya sukses kedepannyaa,0.9999769,positive,berguna banget transaksi online pembayaran jarak great job lancar jaya sukses kedepannyaa,BSI Mobile Keren dan Lancar Digunakan,,,,
3/8/2023 16:08,Toppp banget sekarang makin joss aplikasi nya,5,FALSE,Penilaian,toppp banget joss aplikasi nya,0.9763096,positive,toppp banget joss nya,Fitur Lengkap dan Memudahkan Transaksi,,,,
6/17/2020 7:53,Update NFC untuk iOS dong min. Supaya bisa top-up/update emoney dari perangkat iphone seperti yg lagi booming barusan di App Mandiri Banking. Trims,5,FALSE,NFC iOS,pembaruan nfc ios min bisa top up pembaruan emoney perangkat iphone booming barusan app mandiri banking terima kasih,0.000278104,negative,pembaruan nfc ios min top up pembaruan emoney perangkat iphone booming barusan app mandiri banking terima kasih,BSI Mobile Susah digunakan dan Sering Eror,,,,
6/14/2023 2:28,Aplikasi nya mudah di gunakan fiturnya lengkap,5,FALSE,Mantab,aplikasi nya mudah fiturnya lengkap,0.999971,positive,nya mudah fiturnya lengkap,Kenyamanan pada BSI Mobile,,,,
6/6/2023 7:52,"alhamdulillah sekarang aktivasi bsi mobile di ios lebih mudah dan cepat tidak perlu ke cs lagi. fiturnya juga lengkap, topup ewallet apapun bisa ovo gopay dana linkaja dsb. pembayaran tagihan bpjs, ukt kuliah, beli pulsa, dll semua bisa. notifikasi waktu sholat dan kiblat pun ada. alhamdulillah blm ada kendala apapun selama menggunakan, semoga lebih baik lagi :)",5,FALSE,best terlengkap!,alhamdulillah aktivasi bsi mobile ios mudah cepat tidak rekan fiturnya lengkap top up ewallet apapun bisa ovo gopay dana linkaja pembayaran tagihan badan penyelenggara jaminan sosial ukt kuliah beli pulsa bisa notifikasi salat kiblat alhamdulillah kendala apapun semoga baik,0.9999733,positive,alhamdulillah aktivasi ios mudah cepat rekan fiturnya lengkap top up ewallet apapun ovo gopay dana linkaja pembayaran tagihan badan penyelenggara jaminan sosial ukt kuliah beli pulsa notifikasi salat kiblat alhamdulillah kendala apapun semoga,Transaksi Nasabah pada BSI Mobile,,,,
4/24/2023 5:09,"Aplikasi yang sangat mempermudah untuk bertransaksi, BSI good job",5,FALSE,BSI KEREN👍🏻,aplikasi mempermudah bertransaksi bsi good job,0.9999743,positive,mempermudah bertransaksi good job,BSI Mobile Keren dan Lancar Digunakan,,,,
4/2/2023 7:00,"bagus bgt app nya udh upgade, good job bsi! sukses!",5,FALSE,jauza maulida,bagus banget app nya upgade good job bsi sukses,0.9999742,positive,bagus banget app nya upgade good job sukses,BSI Mobile Keren dan Lancar Digunakan,,,,
4/2/2023 4:01,"Sebagai pengguna baru aplikasi ini cukup mudah dipahami. Dapat melakukan transaksi dimana saja. Selain itu dilengkapi dengan waktu shalat dan arah kiblat, cukup berbeda dengan aplikasi mobile banking pada umumnya. Semoga selalu ditingkatkan fitur"" nya. Mantap dan good job BSI !!!",5,FALSE,Semoga selalu ditingkatkan ya!,pengguna aplikasi mudah dipahami transaksi dimana dilengkapi salat arah kiblat berbeda aplikasi mobile banking semoga ditingkatkan fitur nya mantap good job bsi,0.9999727,positive,pengguna mudah dipahami transaksi dimana dilengkapi salat arah kiblat berbeda banking semoga ditingkatkan fitur nya mantap good job,Fitur Lengkap dan Memudahkan Transaksi,,,,
4/2/2023 3:00,Wah ternyata memang harus di update ! Karena makin best and makin mempermudah. Terbaik pokoknya. Terbaik banget aplikasinya,5,FALSE,BSI apps terbaik,pembaruan best and mempermudah terbaik pokoknya terbaik banget aplikasinya,0.999972,positive,pembaruan best and mempermudah terbaik pokoknya terbaik banget aplikasinya,Kenyamanan pada BSI Mobile,,,,
3/27/2023 8:22,Ternyata setelah diupdate jadi makin nyaman pake aplikasinya! Jadi seneng deh pake BSI. Kalo bisa kasi bintang 10 bakalan aku kasi bintang 10 deh!! Good job BSI 👍👍👍,5,FALSE,BSI Keren,diupdate nyaman pakai aplikasinya senang deh pakai bsi bisa kasih bintang kasih bintang deh good job bsi keren keren keren,0.9999806,positive,diupdate nyaman pakai aplikasinya senang deh pakai kasih bintang 10 kasih bintang 10 deh good job keren keren keren,BSI Mobile Keren dan Lancar Digunakan,,,,
3/25/2023 16:48,"Sebelum ada pembaruan/update, app BSI ini sebenernya sudah menampilkan menu yang ga membingungkan dan sederhana. Setelah saya update, appnya jadi semakin keren lagi. Bank BSI makin jadi bank andalan saya😊🙏",5,FALSE,Perbaikan Aplikasi yang Bagus!!,pembaruan pembaruan app bsi menampilkan menu tidak membingungkan sederhana pembaruan aplikasinyya keren bank bsi bank andalan senang berdoa,0.031386305,negative,pembaruan pembaruan app menampilkan menu membingungkan sederhana pembaruan aplikasinyya keren bank bank andalan senang berdoa,BSI Mobile Keren dan Lancar Digunakan,,,,
3/24/2023 8:25,"Wah bagusnya bsi sekarang setelah melakukan update terbaru, membuat kita pengguna menjadi tidak ribet dan susah dalam menggunakan aplikasinya, untuk kedepannya semoga selalu ada kemajuan yang baik. Good job bsi",5,FALSE,Bsi keren,bagusnya bsi pembaruan terbaru pengguna tidak ribet susah aplikasinya kedepannya semoga kemajuan baik good job bsi,0.99993044,positive,bagusnya pembaruan terbaru pengguna ribet susah aplikasinya kedepannya semoga kemajuan good job,BSI Mobile Keren dan Lancar Digunakan,,,,
3/22/2023 22:28,Aplikasi keren yang mudah digunakan dan membantu dalam urusan perbankan,5,FALSE,Good JOB BSI!,aplikasi keren mudah membantu urusan perbankan,0.99997646,positive,keren mudah membantu urusan perbankan,Fitur Lengkap dan Memudahkan Transaksi,,,,
3/22/2023 19:06,"Makin keren BSI aplikasinya, sukses selalu ya bsi🖤",5,FALSE,Good job BSI!!!,keren bsi aplikasinya sukses ya bsi,0.99997824,positive,keren aplikasinya sukses ya,BSI Mobile Keren dan Lancar Digunakan,,,,
3/16/2023 5:50,aplikasi bsi sekarang lebih mudah dan makin nyaman saat digunakan. Lancar gaada hambatan,5,FALSE,Aplikasi BSI mobile banking memudahkan,aplikasi bsi mudah nyaman lancar tidak hambatan,0.99997026,positive,mudah nyaman lancar hambatan,Fitur Lengkap dan Memudahkan Transaksi,,,,
3/7/2023 13:13,"BSI semakin mengudara, sesuai ekspetasi dan mudah dipahami aplikasinya. Cocok bgt buat aku yg bener2 mau berhemat😂😂",5,FALSE,BSI MANTAP💯❤️❤️❤️,bsi mengudara sesuai ekspetasi mudah dipahami aplikasinya cocok banget benar benar berhemat tertawa tertawa,0.999974,positive,mengudara sesuai ekspetasi mudah dipahami aplikasinya cocok banget berhemat tertawa tertawa,Aplikasi Berguna tapi Ribet,,,,
1/6/2023 6:46,Bagus banget,5,FALSE,Review,bagus banget,0.99987817,positive,bagus banget,Kenyamanan pada BSI Mobile,,,,
1/16/2024 17:23,"Fiturnya sangat lengkap, mobile bankingnya enak digunakan. Makin keren nih aplikasinya, Mantab BSI!!",5,FALSE,Gampang dipakai,fiturnya lengkap mobile bankingnya enak keren nih aplikasinya mantap bsi,0.9999806,positive,fiturnya lengkap bankingnya enak keren nih aplikasinya mantap,Fitur Lengkap dan Memudahkan Transaksi,,,,
6/19/2023 1:58,BSI Mobile semakin canggih dengan kelengkapan fitur2 yg bisa memudahkan nasabah bertransaksi☺️☺️,5,FALSE,BSI Mobile,bsi mobile canggih kelengkapan fitur bisa memudahkan nasabah bertransaksi senang senang,0.9999762,positive,canggih kelengkapan fitur2 memudahkan nasabah bertransaksi senang senang,Fitur Lengkap dan Memudahkan Transaksi,,,,
3/28/2023 9:04,"Aplikasi bagus, mempermudah masyarakat untuk mengakses rekening tanpa harus datang ke bank dan antri🥰Good job bsi semoga selalu di tingkatkan lagi",5,FALSE,Good job,aplikasi bagus mempermudah masyarakat mengakses rekening bank antre good job bsi semoga tingkatkan,0.9999717,positive,bagus mempermudah masyarakat mengakses rekening bank antre good job semoga tingkatkan,BSI Mobile Keren dan Lancar Digunakan,,,,
3/20/2023 17:37,"Membantu banget pengiriman lebih cepat ,BSI memang bagus top pokoknya",5,FALSE,Sangat bagus,membantu banget pengiriman cepat bsi bagus top pokoknya,0.99997354,positive,membantu banget pengiriman cepat bagus top pokoknya,Kenyamanan pada BSI Mobile,,,,
